Age,Industry,Job Title,Annual Salary,Monetary Compensation,Currency,Country of Employment,State (USA),Overall Number of Years of Experience,Number of Years of Experience in Your Field,Highest Level of Education,Gender,Ethnicity
25-34,Nonprofits,Training Director,81000.0,0.0,USD,USA,California,8 - 10 years,2 - 4 years,Master's degree,Female,White
35-44,Computing or Tech,Staff Engineer,175000.0,17500.0,USD,USA,Massachusetts,21 - 30 years,21 - 30 years,Some college,Male,White
35-44,Computing or Tech,Director,180000.0,10000.0,USD,USA,Virginia,11 - 20 years,11 - 20 years,College degree,Male,White
35-44,Recruitment or HR,Recruiting Administration ,55000.0,2200.0,USD,USA,Colorado,5-7 years,5-7 years,College degree,Female,White
35-44,Media & Digital,Director,132000.0,0.0,USD,USA,California,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Retail,Boutique assistant ,42000.0,6000.0,USD,USA,New York,8 - 10 years,8 - 10 years,Some college,Female,"Black or African American, Hispanic, Latino, or Spanish origin"
35-44,Education (Primary/Secondary),Teacher,87000.0,0.0,CAD,Canada,Outside of the US,11 - 20 years,8 - 10 years,Master's degree,Female,White
25-34,Engineering or Manufacturing,Blending Engineer ,109000.0,10000.0,CAD,Canada,Outside of the US,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Insurance,Compliance Manager,97000.0,9700.0,USD,USA,Wisconsin,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Female,White
18-24,Transport or Logistics,Logistics Coordinator,49920.0,3840.0,USD,USA,Illinois,2 - 4 years,1 year or less,College degree,Female,Asian or Asian American
25-34,"Accounting, Banking & Finance",Audit Lead,92000.0,9000.0,USD,USA,Georgia,2 - 4 years,2 - 4 years,Master's degree,Female,White
55-64,Health care,Office manager ,52000.0,0.0,USD,USA,Illinois,31 - 40 years,21 - 30 years,College degree,Female,White
25-34,Health care,Registered Nurse,64000.0,1000.0,USD,USA,Maryland,11 - 20 years,5-7 years,College degree,Female,"Asian or Asian American, Black or African American"
35-44,Computing or Tech,Software Engineer,168000.0,150000.0,USD,USA,Massachusetts,8 - 10 years,2 - 4 years,PhD,Male,White
18-24,Sales,Call Center Operator (Customer Service),32300.0,1000.0,USD,USA,Wisconsin,5-7 years,5-7 years,Some college,Other or prefer not to answer,White
35-44,Education (Primary/Secondary),Teacher,117000.0,10000.0,USD,USA,Washington,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,Health care,Data Scientist,105000.0,3000.0,USD,USA,North Carolina,5-7 years,5-7 years,Master's degree,Female,White
35-44,Engineering or Manufacturing,Senior Principal Engineer,160000.0,8000.0,USD,USA,California,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,"Marketing, Advertising & PR",Account Specialist,67000.0,2000.0,CAD,Canada,Outside of the US,5-7 years,2 - 4 years,College degree,Female,Asian or Asian American
35-44,Business or Consulting,Director of Technology,116000.0,0.0,USD,USA,Michigan,21 - 30 years,21 - 30 years,Some college,Male,White
18-24,Art & Design,Junior Interior Designer,54000.0,0.0,USD,USA,Kentucky,5-7 years,2 - 4 years,College degree,Female,"Black or African American, White"
45-54,Real Estate,Human Resources Manager ,77000.0,6000.0,USD,USA,Arkansas,21 - 30 years,11 - 20 years,Master's degree,Female,White
18-24,Engineering or Manufacturing,Assistant Project Manager,67000.0,0.0,AUD/NZD,Australia,Outside of the US,2 - 4 years,2 - 4 years,Master's degree,Female,White
25-34,Education (Higher Education),Assistant Professor of Biology,52000.0,0.0,USD,USA,Indiana,5-7 years,5-7 years,PhD,Female,White
25-34,Computing or Tech,Policy Director,267500.0,80000.0,USD,USA,District of Columbia,8 - 10 years,8 - 10 years,Master's degree,Female,White
35-44,Computing or Tech,Analytics Manager,120000.0,20000.0,USD,USA,Illinois,11 - 20 years,5-7 years,College degree,Female,White
25-34,Law,Associate,130000.0,4500.0,CAD,Canada,Outside of the US,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Female,White
35-44,Engineering or Manufacturing,Aerospace Design Engineer,77000.0,0.0,USD,USA,California,11 - 20 years,2 - 4 years,College degree,Male,White
25-34,Computing or Tech,Technical Writer,72.0,0.0,USD,USA,Washington,8 - 10 years,2 - 4 years,College degree,Female,White
35-44,"Accounting, Banking & Finance",Employee Engagement Manager,100500.0,13000.0,USD,USA,Massachusetts,11 - 20 years,5-7 years,Master's degree,Female,White
35-44,Computing or Tech,Research manager,170000.0,80000.0,USD,USA,New York,5-7 years,5-7 years,PhD,Female,White
18-24,Education (Primary/Secondary),Teacher,27040.0,300.0,USD,USA,Utah,5-7 years,1 year or less,College degree,Female,White
25-34,Computing or Tech,Senior Design Architect ,170000.0,120000.0,USD,USA,New York,5-7 years,5-7 years,Master's degree,Male,White
45-54,Law,Legal assistant,78000.0,19000.0,USD,USA,Wisconsin,31 - 40 years,31 - 40 years,Some college,Female,White
25-34,Computing or Tech,Senior Technical Writer,124000.0,2500.0,CAD,Canada,Outside of the US,8 - 10 years,5-7 years,College degree,Female,"Asian or Asian American, White"
25-34,Computing or Tech,Recruiting operations specialist ,90000.0,20000.0,USD,USA,New York,5-7 years,2 - 4 years,College degree,Female,White
25-34,"Marketing, Advertising & PR",Associate Director of Marketing,113000.0,16000.0,USD,USA,Texas,8 - 10 years,5-7 years,Master's degree,Female,White
35-44,Entertainment,Co-Executive Producer,210000.0,0.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Computing or Tech,Systems Development Engineer,151300.0,40000.0,USD,USA,Virginia,8 - 10 years,8 - 10 years,College degree,Male,White
35-44,Computing or Tech,Product designer,145610.0,30000.0,USD,USA,Texas,11 - 20 years,8 - 10 years,Master's degree,Female,White
35-44,Computing or Tech,Security Engineer,200000.0,100000.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Non-binary,White
45-54,"Marketing, Advertising & PR",brand manager,60000.0,0.0,USD,USA,Arizona,21 - 30 years,11 - 20 years,College degree,Female,White
25-34,Government and Public Administration,Senior Information Officer,90300.0,5000.0,USD,USA,District of Columbia,11 - 20 years,5-7 years,Master's degree,Female,White
25-34,Nonprofits,Outreach Coordinator,44000.0,0.0,USD,USA,Oregon,8 - 10 years,8 - 10 years,PhD,Female,White
25-34,Health care,Data Scientist,97800.0,7800.0,USD,USA,Pennsylvania,2 - 4 years,2 - 4 years,College degree,Female,White
35-44,Business or Consulting,Project manager,91000.0,7000.0,USD,USA,Massachusetts,11 - 20 years,5-7 years,Master's degree,Female,White
35-44,Government and Public Administration,Director of Community Development ,91000.0,0.0,USD,USA,Massachusetts,11 - 20 years,11 - 20 years,Master's degree,Other or prefer not to answer,White
35-44,Computing or Tech,Software Engineering Manager,159000.0,15000.0,USD,USA,Pennsylvania,11 - 20 years,11 - 20 years,College degree,Male,White
25-34,Biotech,Business Development Manager,125000.0,15000.0,USD,USA,Arizona,5-7 years,2 - 4 years,PhD,Female,White
35-44,Nonprofits,Researcher,132000.0,800.0,USD,USA,California,11 - 20 years,11 - 20 years,PhD,Female,Asian or Asian American
35-44,Business or Consulting,Director - Risk,219000.0,33000.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Male,White
35-44,Recruitment or HR,Human Resources Manager,71944.0,0.0,USD,USA,Hawaii,8 - 10 years,8 - 10 years,Master's degree,Female,Another option not listed here or prefer not to answer
55-64,Social Work,Administrative Social Work Supervisor ,70000.0,0.0,USD,USA,New York,21 - 30 years,5-7 years,Master's degree,Female,White
35-44,Computing or Tech,Software Engineering Manager,215000.0,275000.0,USD,USA,Washington,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,Computing or Tech,Quality Assurance Analyst ,65000.0,0.0,USD,USA,Colorado,11 - 20 years,2 - 4 years,College degree,Female,White
45-54,Computing or Tech,Senior Software Engineer,174000.0,130000.0,USD,USA,Massachusetts,21 - 30 years,21 - 30 years,College degree,Male,"Asian or Asian American, White"
35-44,"Accounting, Banking & Finance",Customer Service Agent,36000.0,0.0,USD,USA,Florida,8 - 10 years,5-7 years,College degree,Female,"Hispanic, Latino, or Spanish origin, White"
35-44,Computing or Tech,System Architect,118000.0,5000.0,USD,USA,Washington,21 - 30 years,11 - 20 years,Some college,Male,White
25-34,Computing or Tech,Security engineer ii,90000.0,6000.0,USD,USA,Michigan,11 - 20 years,5-7 years,College degree,Male,White
25-34,Nonprofits,Finance Director,58000.0,3000.0,USD,USA,Massachusetts,11 - 20 years,2 - 4 years,College degree,Female,White
35-44,Computing or Tech,Sr. DevOps Engineer,110800.0,0.0,USD,USA,Tennessee,11 - 20 years,11 - 20 years,College degree,Male,"Native American or Alaska Native, White"
35-44,Nonprofits,Manager,60000.0,10000.0,USD,USA,District of Columbia,8 - 10 years,5-7 years,Master's degree,Female,White
18-24,Computing or Tech,Associate DevOps Engineer,86700.0,8670.0,USD,USA,Oregon,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,Computing or Tech,Software Development Engineer ,157000.0,60000.0,USD,USA,Utah,11 - 20 years,11 - 20 years,Master's degree,Male,White
25-34,Computing or Tech,Diversity Senior Program Manager,160000.0,32000.0,USD,USA,California,11 - 20 years,5-7 years,College degree,Female,Asian or Asian American
35-44,Computing or Tech,Product Manager,200000.0,15000.0,USD,USA,Oregon,11 - 20 years,11 - 20 years,College degree,Male,White
35-44,Computing or Tech,Analytical Linguist,145000.0,0.0,USD,USA,California,5-7 years,5-7 years,PhD,Male,White
45-54,Nonprofits,Donor Development and Membership Marketing Manager,68000.0,0.0,USD,USA,Maryland,21 - 30 years,21 - 30 years,Master's degree,Male,White
35-44,Computing or Tech,Principal Consultant,185000.0,26.0,AUD/NZD,Australia,Outside of the US,21 - 30 years,21 - 30 years,College degree,Male,White
25-34,Computing or Tech,Customer Success Manager,120000.0,20000.0,USD,USA,North Carolina,5-7 years,2 - 4 years,College degree,Female,White
25-34,"Marketing, Advertising & PR",Senior Marketing Coordinator,75000.0,3000.0,USD,USA,Illinois,8 - 10 years,5-7 years,Master's degree,Female,White
25-34,Computing or Tech,Project Manager,52000.0,6800.0,Other,Australia,Outside of the US,8 - 10 years,2 - 4 years,College degree,Female,White
25-34,Engineering or Manufacturing,Receptionist,55000.0,0.0,AUD/NZD,Australia,Outside of the US,2 - 4 years,2 - 4 years,High School,Female,Another option not listed here or prefer not to answer
35-44,Engineering or Manufacturing,Vice President ,115000.0,50000.0,USD,USA,Florida,11 - 20 years,11 - 20 years,Master's degree,Female,"Hispanic, Latino, or Spanish origin, White"
25-34,Hospitality & Events,Barista,31200.0,520.0,CAD,Canada,Outside of the US,11 - 20 years,11 - 20 years,High School,Non-binary,White
25-34,Insurance,Business Analyst,66000.0,3000.0,USD,USA,Indiana,8 - 10 years,8 - 10 years,Master's degree,Female,White
25-34,Health care,Director ,85000.0,20000.0,USD,USA,California,5-7 years,8 - 10 years,Some college,Male,White
35-44,Nonprofits,Programs Manager,80000.0,0.0,USD,USA,District of Columbia,11 - 20 years,8 - 10 years,College degree,Female,Black or African American
25-34,Health care,Experience Manager,52000.0,3000.0,USD,USA,Michigan,5-7 years,5-7 years,Master's degree,Male,White
35-44,Publishing,Online Editor,9000.0,0.0,USD,USA,Michigan,11 - 20 years,8 - 10 years,Master's degree,Female,"Hispanic, Latino, or Spanish origin"
25-34,Business or Consulting,Senior Consultant,108000.0,5000.0,USD,USA,California,2 - 4 years,2 - 4 years,College degree,Male,White
25-34,Computing or Tech,"Director, Mobile Engagement",130000.0,26000.0,USD,USA,Illinois,11 - 20 years,5-7 years,College degree,Female,White
18-24,Computing or Tech,Software Engineer,160000.0,225000.0,USD,USA,California,2 - 4 years,2 - 4 years,College degree,Female,Asian or Asian American
25-34,Computing or Tech,Senior site reliability engineer,155000.0,0.0,USD,USA,Massachusetts,8 - 10 years,5-7 years,College degree,Female,White
35-44,Computing or Tech,Software Developer III,118500.0,6000.0,USD,USA,Ohio,21 - 30 years,21 - 30 years,College degree,Male,White
25-34,Clinical Research,Clinical Trial Manager,126000.0,22000.0,USD,USA,Texas,8 - 10 years,5-7 years,Master's degree,Female,Black or African American
25-34,Nonprofits,"Director, Public Policy and Advocacy",89000.0,0.0,USD,USA,Virginia,11 - 20 years,8 - 10 years,College degree,Female,White
45-54,Health care,Practice Manager,72000.0,5000.0,USD,USA,Colorado,21 - 30 years,21 - 30 years,Some college,Female,White
25-34,Science/Biotech ,Head of Production,65000.0,0.0,AUD/NZD,Australia,Outside of the US,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,"Marketing, Advertising & PR",Sr Manager,105000.0,15000.0,USD,USA,Illinois,5-7 years,5-7 years,College degree,Female,White
35-44,"Accounting, Banking & Finance",Compliance Analyst ,55000.0,5500.0,USD,USA,Arizona,11 - 20 years,2 - 4 years,College degree,Female,White
35-44,Law,Assistant,33280.0,1000.0,USD,USA,Mississippi,11 - 20 years,1 year or less,College degree,Female,White
35-44,Media & Digital,Content producer,120000.0,0.0,AUD/NZD,Australia,Outside of the US,21 - 30 years,5-7 years,College degree,Female,White
25-34,Nonprofits,manager of education services,44000.0,600.0,CAD,Canada,Outside of the US,2 - 4 years,8 - 10 years,Master's degree,Female,White
25-34,Media & Digital,Copy editor,51450.0,1000.0,USD,USA,District of Columbia,11 - 20 years,5-7 years,College degree,Non-binary,White
35-44,Computing or Tech,Senior IT analyst ,102000.0,4000.0,CAD,Canada,Outside of the US,11 - 20 years,8 - 10 years,Some college,Female,White
45-54,Property or Construction,Scholarships Director,125000.0,12500.0,USD,USA,California,21 - 30 years,8 - 10 years,Master's degree,Female,"Hispanic, Latino, or Spanish origin"
25-34,Computing or Tech,Software Developer,82000.0,0.0,USD,USA,Utah,5-7 years,5-7 years,College degree,Male,White
35-44,Nonprofits,Senior Research Advisor,131000.0,12000.0,USD,USA,District of Columbia,11 - 20 years,11 - 20 years,College degree,Male,White
18-24,Law,Legal Assistant ,41000.0,500.0,USD,USA,District of Columbia,2 - 4 years,1 year or less,College degree,Female,"Hispanic, Latino, or Spanish origin, White"
25-34,Retail,Sr. Financial Analyst,100000.0,8000.0,USD,USA,California,2 - 4 years,1 year or less,College degree,Female,White
18-24,Health care,Patient Representative,35360.0,3000.0,USD,USA,Iowa,5-7 years,2 - 4 years,College degree,Female,Asian or Asian American
25-34,Computing or Tech,Senior Software Engineer,208000.0,45000.0,USD,USA,New York,8 - 10 years,8 - 10 years,College degree,Male,White
25-34,Computing or Tech,Operations Strategy Analyst,55240.0,3000.0,USD,USA,Illinois,5-7 years,5-7 years,College degree,Female,"Hispanic, Latino, or Spanish origin"
35-44,Nonprofits,Librarian,57000.0,0.0,USD,USA,District of Columbia,11 - 20 years,8 - 10 years,Master's degree,Female,White
35-44,Health care,Nurse Supervisor ,110000.0,0.0,USD,USA,Oregon,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,Computing or Tech,Senior Engineering Manager,270000.0,900000.0,USD,USA,Washington,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Female,White
18-24,Nonprofits,Coordinator,44000.0,1320.0,USD,USA,District of Columbia,1 year or less,1 year or less,College degree,Female,Asian or Asian American
35-44,"Accounting, Banking & Finance",Online chat investment advisor,56500.0,6000.0,USD,USA,Rhode Island,11 - 20 years,5-7 years,Some college,Female,White
35-44,Retail,Inventory Specialist,34000.0,2500.0,USD,USA,Illinois,21 - 30 years,8 - 10 years,Some college,Male,White
35-44,Education (Higher Education),Applications Administrator,74500.0,0.0,USD,USA,Virginia,21 - 30 years,21 - 30 years,Some college,Male,White
18-24,Nonprofits,Manager,50000.0,1500.0,USD,USA,District of Columbia,1 year or less,1 year or less,College degree,Female,Asian or Asian American
35-44,Computing or Tech,Product Manager,150000.0,100000.0,USD,USA,Washington,11 - 20 years,11 - 20 years,College degree,Male,White
25-34,Education (Primary/Secondary),"Director of College Counseling, Academic Advisor, Teacher",72000.0,0.0,USD,USA,Pennsylvania,8 - 10 years,8 - 10 years,Master's degree,Female,White
35-44,Entertainment,Director of Social Media,160000.0,40000.0,USD,USA,California,11 - 20 years,11 - 20 years,College degree,Male,White
25-34,"Marketing, Advertising & PR",Vice president ,155000.0,7500.0,USD,USA,New York,8 - 10 years,8 - 10 years,Master's degree,Female,Black or African American
35-44,Engineering or Manufacturing,Audio Systems Engineer,165000.0,16500.0,USD,USA,Massachusetts,11 - 20 years,11 - 20 years,Master's degree,Male,White
25-34,Nonprofits,Senior program officer ,62500.0,0.0,USD,USA,District of Columbia,5-7 years,2 - 4 years,Master's degree,Female,White
25-34,Nonprofits,Manager of Institutional Funding,81000.0,0.0,USD,USA,New York,8 - 10 years,2 - 4 years,College degree,Female,White
18-24,Computing or Tech,Full Stack Engineer,85000.0,0.0,USD,USA,Massachusetts,1 year or less,1 year or less,College degree,Male,White
25-34,Computing or Tech,Project Manager,85000.0,12000.0,USD,USA,Colorado,5-7 years,2 - 4 years,Master's degree,Female,White
35-44,Nonprofits,Director,100000.0,6000.0,USD,Uganda,Outside of the US,11 - 20 years,5-7 years,Master's degree,Female,Black or African American
55-64,Health care,Director of Operations,115000.0,20000.0,USD,USA,Oregon,41 years or more,11 - 20 years,College degree,Male,White
45-54,Government and Public Administration,Audit Manager ,102000.0,0.0,USD,USA,New Mexico,21 - 30 years,21 - 30 years,College degree,Female,Native American or Alaska Native
35-44,Property or Construction,"Director, Project Management Office",120000.0,20000.0,CAD,Canada,Outside of the US,21 - 30 years,21 - 30 years,College degree,Female,White
25-34,Computing or Tech,Business Analyst,65000.0,5400.0,USD,USA,Missouri,2 - 4 years,2 - 4 years,College degree,Female,White
35-44,Retail,Team Leader ,46467.0,1200.0,USD,USA,New Mexico,21 - 30 years,21 - 30 years,College degree,Female,"Hispanic, Latino, or Spanish origin"
35-44,Computing or Tech,Senior Software Engineer,145000.0,10000.0,USD,USA,New York,11 - 20 years,11 - 20 years,Master's degree,Male,White
18-24,Computing or Tech,Operations Associate,90000.0,5000.0,USD,USA,California,2 - 4 years,2 - 4 years,College degree,Female,Asian or Asian American
35-44,Computing or Tech,Director of Technology,170000.0,0.0,USD,USA,Massachusetts,21 - 30 years,21 - 30 years,Some college,Male,White
25-34,Business or Consulting,Senior Consultant,163000.0,15000.0,USD,USA,Washington,8 - 10 years,5-7 years,College degree,Female,White
35-44,Philanthropy ,Program Manager,140000.0,1500.0,USD,USA,Washington,11 - 20 years,5-7 years,Master's degree,Female,White
45-54,Health care,COMT ,62500.0,6000.0,USD,USA,New Mexico,21 - 30 years,21 - 30 years,College degree,Female,White
35-44,Computing or Tech,Staff Security Operations Engineer,175000.0,17500.0,USD,USA,Nevada,21 - 30 years,8 - 10 years,Some college,Male,White
35-44,Education (Higher Education),Professor of [Humanities Discipline],72000.0,2800.0,USD,USA,Illinois,11 - 20 years,11 - 20 years,PhD,Female,White
25-34,"Accounting, Banking & Finance",Security Engineer,215000.0,1400000.0,USD,USA,California,5-7 years,5-7 years,Some college,Male,White
35-44,Law,Director Business and Legal Affairs,165000.0,32000.0,USD,USA,New York,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Male,White
35-44,Media & Digital,Senior editor,100000.0,5000.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,Health care,Senior Manager,130000.0,0.0,USD,USA,California,8 - 10 years,8 - 10 years,Master's degree,Female,White
35-44,Government and Public Administration,Software Developer,157000.0,2000.0,USD,USA,Maryland,11 - 20 years,11 - 20 years,College degree,Male,White
35-44,Government and Public Administration,Training manager,80000.0,0.0,USD,USA,Texas,11 - 20 years,11 - 20 years,Master's degree,Female,Black or African American
25-34,"Accounting, Banking & Finance",Sales Manager,120000.0,10000.0,USD,USA,California,5-7 years,2 - 4 years,College degree,Female,White
18-24,Transport or Logistics,Aircraft Maintenance Technician,54080.0,3000.0,USD,USA,Wisconsin,5-7 years,2 - 4 years,Some college,Female,White
25-34,Media & Digital,Senior Production Editor,66000.0,600.0,USD,USA,New York,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Nonprofits,Communications Manager,51500.0,0.0,USD,USA,Massachusetts,5-7 years,5-7 years,College degree,Female,"Middle Eastern or Northern African, White"
35-44,Computing or Tech,Software Engineer ,100000.0,0.0,USD,USA,Washington,11 - 20 years,11 - 20 years,College degree,Male,White
35-44,Biotech,Supervisor,120000.0,30000.0,USD,USA,California,8 - 10 years,5-7 years,PhD,Female,White
45-54,Law,Paralegal,66000.0,5000.0,USD,USA,California,11 - 20 years,2 - 4 years,College degree,Male,White
25-34,Computing or Tech,Technical Staff,132000.0,0.0,USD,USA,Massachusetts,2 - 4 years,2 - 4 years,PhD,Female,White
25-34,Health care,Front desk / administrative ,31000.0,1000.0,USD,USA,California,8 - 10 years,8 - 10 years,Some college,Female,"Hispanic, Latino, or Spanish origin"
35-44,Oil & Gas,Office Manager,72250.0,8000.0,USD,USA,Texas,21 - 30 years,8 - 10 years,Some college,Female,White
25-34,Early Childhood Education,Senior Strategic Business Developer,117500.0,11750.0,USD,USA,Oregon,8 - 10 years,1 year or less,Master's degree,Female,Another option not listed here or prefer not to answer
25-34,Media & Digital,Senior Engineering Manager,181000.0,25000.0,USD,USA,New York,8 - 10 years,8 - 10 years,College degree,Male,White
25-34,Health care,Exercise Physiologist,37440.0,1000.0,USD,USA,North Carolina,8 - 10 years,2 - 4 years,College degree,Female,White
45-54,Business or Consulting,Customer Service Technician,40000.0,0.0,USD,USA,Illinois,21 - 30 years,8 - 10 years,Some college,Female,White
35-44,Nonprofits,Program Manager,51000.0,0.0,USD,USA,Illinois,11 - 20 years,11 - 20 years,College degree,Female,White
45-54,"Marketing, Advertising & PR",Marketing Strategist,68000.0,0.0,CAD,Canada,Outside of the US,21 - 30 years,11 - 20 years,College degree,Female,White
25-34,"Accounting, Banking & Finance",Financial Analyst,83000.0,0.0,USD,USA,Oklahoma,8 - 10 years,2 - 4 years,College degree,Female,White
25-34,"Marketing, Advertising & PR",Marketing Manager,105000.0,5000.0,USD,USA,Washington,5-7 years,5-7 years,Master's degree,Female,White
25-34,Law,Public Defender,70000.0,0.0,USD,USA,Minnesota,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Female,White
35-44,Computing or Tech,Senior implementation manager,95000.0,9500.0,USD,USA,Utah,11 - 20 years,5-7 years,Some college,Male,White
45-54,Computing or Tech,Executive Assistant to CEO,134000.0,20000.0,USD,USA,California,21 - 30 years,8 - 10 years,College degree,Female,White
25-34,Computing or Tech,Product Marketing Manager ,120000.0,20000.0,USD,USA,New York,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Male,White
35-44,Education (Primary/Secondary),Director of Alumni Relations,83000.0,0.0,USD,USA,Texas,11 - 20 years,11 - 20 years,Master's degree,Female,White
45-54,Computing or Tech,"Sr. Manager, SRE",220000.0,340000.0,USD,USA,Washington,21 - 30 years,21 - 30 years,Some college,Male,White
35-44,Nonprofits,Director of Corporate and Foundation Relations ,80000.0,0.0,USD,USA,Maryland,11 - 20 years,8 - 10 years,Master's degree,Female,"Hispanic, Latino, or Spanish origin, White"
25-34,Computing or Tech,Senior Project Manager ,85000.0,2500.0,USD,USA,Washington,5-7 years,5-7 years,College degree,Female,White
35-44,Hospitality & Events,General Manager ,58000.0,2000.0,USD,USA,Missouri,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,Computing or Tech,Software Engineer,190000.0,5000.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Male,White
35-44,Nonprofits,Senior project manager,75000.0,0.0,USD,USA,Georgia,8 - 10 years,2 - 4 years,Master's degree,Male,White
18-24,Computing or Tech,Dasher Support Labs Agent,28536.0,1000.0,USD,USA,Oklahoma,11 - 20 years,5-7 years,High School,Male,White
25-34,"Accounting, Banking & Finance",Security Engineer,215000.0,1400000.0,USD,USA,California,5-7 years,5-7 years,Some college,Male,White
45-54,Health care,Nurse Practitioner ,103000.0,5000.0,USD,USA,Missouri,21 - 30 years,5-7 years,Master's degree,Female,White
25-34,Law,Compliance Analyst,63000.0,11000.0,USD,USA,Massachusetts,2 - 4 years,2 - 4 years,College degree,Male,White
45-54,"Accounting, Banking & Finance",Accounting Supervisor ,76000.0,7600.0,USD,USA,Illinois,21 - 30 years,21 - 30 years,College degree,Female,White
25-34,Hospitality & Events,Project Manager,70000.0,10000.0,USD,USA,Oregon,8 - 10 years,2 - 4 years,College degree,Female,White
35-44,Computing or Tech,Solution Specialist,74000.0,0.0,USD,USA,Pennsylvania,21 - 30 years,21 - 30 years,Some college,Non-binary,"Black or African American, White"
45-54,Hospitality & Events,"Project Manager, global learning",92000.0,20000.0,USD,USA,Georgia,21 - 30 years,2 - 4 years,College degree,Female,White
35-44,Education (Higher Education),Academic Advisor,60000.0,0.0,USD,USA,New York,21 - 30 years,11 - 20 years,Master's degree,Female,White
25-34,Transport or Logistics,Operations Manager,91000.0,45000.0,USD,USA,Pennsylvania,5-7 years,2 - 4 years,College degree,Female,Black or African American
45-54,Education (Primary/Secondary),Teacher,78000.0,0.0,USD,USA,Wyoming,21 - 30 years,21 - 30 years,Master's degree,Female,White
35-44,Computing or Tech,Senior Developer,140000.0,12000.0,CAD,Canada,Outside of the US,8 - 10 years,8 - 10 years,College degree,Male,White
25-34,Government and Public Administration,Health Inspector,40000.0,0.0,USD,USA,Florida,5-7 years,5-7 years,College degree,Male,White
25-34,Health care,Technical Project Manager,95000.0,5450.0,USD,USA,California,2 - 4 years,8 - 10 years,Master's degree,Female,White
25-34,Education (Higher Education),Business Analyst,77000.0,0.0,USD,USA,Massachusetts,8 - 10 years,8 - 10 years,Master's degree,Female,"Asian or Asian American, Middle Eastern or Northern African, White"
25-34,"Accounting, Banking & Finance",Payroll Specialist ,75000.0,7000.0,USD,USA,Tennessee,2 - 4 years,2 - 4 years,College degree,Female,White
35-44,Computing or Tech,Sr Software Engineer,150000.0,6000.0,USD,USA,Illinois,11 - 20 years,11 - 20 years,College degree,Male,White
25-34,Hospitality & Events,Senior Events Manager,75000.0,0.0,USD,USA,District of Columbia,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Computing or Tech,Lead DevOps Engineer,147000.0,15000.0,USD,USA,New York,11 - 20 years,5-7 years,Some college,Male,White
25-34,Nonprofits,Communications Coordinator ,57500.0,4650.0,USD,USA,District of Columbia,5-7 years,5-7 years,College degree,Female,White
25-34,Computing or Tech,Systems Engineer,129000.0,25000.0,USD,USA,California,2 - 4 years,2 - 4 years,PhD,Female,White
25-34,Computing or Tech,cloud architect,250000.0,50000.0,USD,USA,Illinois,8 - 10 years,8 - 10 years,Master's degree,Male,"Asian or Asian American, White"
45-54,"Publishing: Science, Academic, Technical ",Production Specialist,81500.0,0.0,USD,USA,Oregon,21 - 30 years,21 - 30 years,College degree,Female,"Hispanic, Latino, or Spanish origin, White"
25-34,"Accounting, Banking & Finance",Accounts Payable/Accounts Receivable,27000.0,0.0,USD,USA,Ohio,5-7 years,1 year or less,High School,Female,White
18-24,"Accounting, Banking & Finance",Associate Financial Advisor ,43000.0,1000.0,USD,USA,Colorado,1 year or less,1 year or less,College degree,Female,White
25-34,Health care,Content Marketing Specialist,80000.0,6500.0,USD,USA,"Colorado, Illinois",5-7 years,5-7 years,College degree,Female,White
25-34,Computing or Tech,Manager of Customer Operations,73000.0,7300.0,USD,USA,Utah,5-7 years,2 - 4 years,Master's degree,Female,White
35-44,Computing or Tech,Scientist 2,156832.0,20000.0,USD,USA,Massachusetts,11 - 20 years,11 - 20 years,College degree,Male,White
25-34,"Marketing, Advertising & PR",Marketing Manager,100000.0,10000.0,USD,USA,Tennessee,8 - 10 years,5-7 years,Master's degree,Female,Another option not listed here or prefer not to answer
35-44,Education (Primary/Secondary),Public school teacher,91243.0,1500.0,USD,USA,Washington,8 - 10 years,5-7 years,Master's degree,Female,White
